IP #AbuseIPDB Abuse Score;AbuseIPDB Unique Reports;OTX AlienVault Pulse Count;AbuseIPDB URL;OTX AlienVault URL;Status;Action
154.81.156.54 #100;11817;50;https://www.abuseipdb.com/check/154.81.156.54;https://otx.alienvault.com/indicator/ip/154.81.156.54;Malicious;Block
154.81.156.34 #100;10989;34;https://www.abuseipdb.com/check/154.81.156.34;https://otx.alienvault.com/indicator/ip/154.81.156.34;Malicious;Block
206.168.34.169 #100;10840;50;https://www.abuseipdb.com/check/206.168.34.169;https://otx.alienvault.com/indicator/ip/206.168.34.169;Malicious;Block
104.234.115.81 #100;493;13;https://www.abuseipdb.com/check/104.234.115.81;https://otx.alienvault.com/indicator/ip/104.234.115.81;Malicious;Block
185.218.84.39 #100;1107;13;https://www.abuseipdb.com/check/185.218.84.39;https://otx.alienvault.com/indicator/ip/185.218.84.39;Malicious;Block
195.184.76.13 #100;1980;7;https://www.abuseipdb.com/check/195.184.76.13;https://otx.alienvault.com/indicator/ip/195.184.76.13;Malicious;Block
195.184.76.236 #100;1516;6;https://www.abuseipdb.com/check/195.184.76.236;https://otx.alienvault.com/indicator/ip/195.184.76.236;Malicious;Block
185.218.84.39 #100;1107;13;https://www.abuseipdb.com/check/185.218.84.39;https://otx.alienvault.com/indicator/ip/185.218.84.39;Malicious;Block
185.218.84.39 #100;1107;13;https://www.abuseipdb.com/check/185.218.84.39;https://otx.alienvault.com/indicator/ip/185.218.84.39;Malicious;Block
185.218.84.39 #100;1107;13;https://www.abuseipdb.com/check/185.218.84.39;https://otx.alienvault.com/indicator/ip/185.218.84.39;Malicious;Block
185.218.84.39 #100;1107;13;https://www.abuseipdb.com/check/185.218.84.39;https://otx.alienvault.com/indicator/ip/185.218.84.39;Malicious;Block
185.218.84.39 #100;1107;13;https://www.abuseipdb.com/check/185.218.84.39;https://otx.alienvault.com/indicator/ip/185.218.84.39;Malicious;Block
154.81.156.34 #100;10989;34;https://www.abuseipdb.com/check/154.81.156.34;https://otx.alienvault.com/indicator/ip/154.81.156.34;Malicious;Block
91.196.152.6 #100;3030;23;https://www.abuseipdb.com/check/91.196.152.6;https://otx.alienvault.com/indicator/ip/91.196.152.6;Malicious;Block
91.196.152.181 #100;737;15;https://www.abuseipdb.com/check/91.196.152.181;https://otx.alienvault.com/indicator/ip/91.196.152.181;Malicious;Block
91.196.152.211 #100;691;13;https://www.abuseipdb.com/check/91.196.152.211;https://otx.alienvault.com/indicator/ip/91.196.152.211;Malicious;Block
185.218.84.39 #100;1107;13;https://www.abuseipdb.com/check/185.218.84.39;https://otx.alienvault.com/indicator/ip/185.218.84.39;Malicious;Block
185.218.84.39 #100;1107;13;https://www.abuseipdb.com/check/185.218.84.39;https://otx.alienvault.com/indicator/ip/185.218.84.39;Malicious;Block
185.218.84.39 #100;1107;13;https://www.abuseipdb.com/check/185.218.84.39;https://otx.alienvault.com/indicator/ip/185.218.84.39;Malicious;Block
185.218.84.39 #100;1107;13;https://www.abuseipdb.com/check/185.218.84.39;https://otx.alienvault.com/indicator/ip/185.218.84.39;Malicious;Block
185.218.84.39 #100;1107;13;https://www.abuseipdb.com/check/185.218.84.39;https://otx.alienvault.com/indicator/ip/185.218.84.39;Malicious;Block
185.218.84.39 #100;1107;13;https://www.abuseipdb.com/check/185.218.84.39;https://otx.alienvault.com/indicator/ip/185.218.84.39;Malicious;Block
185.218.84.39 #100;1107;13;https://www.abuseipdb.com/check/185.218.84.39;https://otx.alienvault.com/indicator/ip/185.218.84.39;Malicious;Block
185.218.84.39 #100;1107;13;https://www.abuseipdb.com/check/185.218.84.39;https://otx.alienvault.com/indicator/ip/185.218.84.39;Malicious;Block
185.218.84.39 #100;1107;13;https://www.abuseipdb.com/check/185.218.84.39;https://otx.alienvault.com/indicator/ip/185.218.84.39;Malicious;Block
195.184.76.106 #100;1437;7;https://www.abuseipdb.com/check/195.184.76.106;https://otx.alienvault.com/indicator/ip/195.184.76.106;Malicious;Block
154.81.156.34 #100;10989;34;https://www.abuseipdb.com/check/154.81.156.34;https://otx.alienvault.com/indicator/ip/154.81.156.34;Malicious;Block
20.171.8.87 #100;306;2;https://www.abuseipdb.com/check/20.171.8.87;https://otx.alienvault.com/indicator/ip/20.171.8.87;Malicious;Block
20.171.8.181 #100;305;6;https://www.abuseipdb.com/check/20.171.8.181;https://otx.alienvault.com/indicator/ip/20.171.8.181;Malicious;Block
20.171.29.218 #100;886;8;https://www.abuseipdb.com/check/20.171.29.218;https://otx.alienvault.com/indicator/ip/20.171.29.218;Malicious;Block
20.171.30.233 #100;902;5;https://www.abuseipdb.com/check/20.171.30.233;https://otx.alienvault.com/indicator/ip/20.171.30.233;Malicious;Block
20.171.30.159 #100;834;4;https://www.abuseipdb.com/check/20.171.30.159;https://otx.alienvault.com/indicator/ip/20.171.30.159;Malicious;Block
20.171.31.231 #100;849;9;https://www.abuseipdb.com/check/20.171.31.231;https://otx.alienvault.com/indicator/ip/20.171.31.231;Malicious;Block
20.118.209.32 #100;299;2;https://www.abuseipdb.com/check/20.118.209.32;https://otx.alienvault.com/indicator/ip/20.118.209.32;Malicious;Block
20.106.49.71 #100;153;1;https://www.abuseipdb.com/check/20.106.49.71;https://otx.alienvault.com/indicator/ip/20.106.49.71;Malicious;Block
20.106.19.246 #100;151;3;https://www.abuseipdb.com/check/20.106.19.246;https://otx.alienvault.com/indicator/ip/20.106.19.246;Malicious;Block
20.106.35.61 #100;352;3;https://www.abuseipdb.com/check/20.106.35.61;https://otx.alienvault.com/indicator/ip/20.106.35.61;Malicious;Block
20.106.56.125 #100;308;1;https://www.abuseipdb.com/check/20.106.56.125;https://otx.alienvault.com/indicator/ip/20.106.56.125;Malicious;Block
141.98.11.110 #100;117;50;https://www.abuseipdb.com/check/141.98.11.110;https://otx.alienvault.com/indicator/ip/141.98.11.110;Malicious;Block
141.98.11.137 #100;4599;12;https://www.abuseipdb.com/check/141.98.11.137;https://otx.alienvault.com/indicator/ip/141.98.11.137;Malicious;Block
141.98.11.137 #100;4599;12;https://www.abuseipdb.com/check/141.98.11.137;https://otx.alienvault.com/indicator/ip/141.98.11.137;Malicious;Block
20.168.120.44 #100;226;1;https://www.abuseipdb.com/check/20.168.120.44;https://otx.alienvault.com/indicator/ip/20.168.120.44;Malicious;Block
20.168.121.1 #100;283;5;https://www.abuseipdb.com/check/20.168.121.1;https://otx.alienvault.com/indicator/ip/20.168.121.1;Malicious;Block
20.168.121.152 #100;286;4;https://www.abuseipdb.com/check/20.168.121.152;https://otx.alienvault.com/indicator/ip/20.168.121.152;Malicious;Block
20.168.120.173 #100;329;4;https://www.abuseipdb.com/check/20.168.120.173;https://otx.alienvault.com/indicator/ip/20.168.120.173;Malicious;Block
196.251.72.203 #100;8417;4;https://www.abuseipdb.com/check/196.251.72.203;https://otx.alienvault.com/indicator/ip/196.251.72.203;Malicious;Block
195.211.191.76 #100;4289;17;https://www.abuseipdb.com/check/195.211.191.76;https://otx.alienvault.com/indicator/ip/195.211.191.76;Malicious;Block
195.178.110.161 #100;1960;22;https://www.abuseipdb.com/check/195.178.110.161;https://otx.alienvault.com/indicator/ip/195.178.110.161;Malicious;Block
196.251.69.233 #100;1026;11;https://www.abuseipdb.com/check/196.251.69.233;https://otx.alienvault.com/indicator/ip/196.251.69.233;Malicious;Block
77.90.185.47 #100;432;7;https://www.abuseipdb.com/check/77.90.185.47;https://otx.alienvault.com/indicator/ip/77.90.185.47;Malicious;Block
80.66.75.121 #100;1076;11;https://www.abuseipdb.com/check/80.66.75.121;https://otx.alienvault.com/indicator/ip/80.66.75.121;Malicious;Block
80.66.75.121 #100;1076;11;https://www.abuseipdb.com/check/80.66.75.121;https://otx.alienvault.com/indicator/ip/80.66.75.121;Malicious;Block
80.66.75.121 #100;1076;11;https://www.abuseipdb.com/check/80.66.75.121;https://otx.alienvault.com/indicator/ip/80.66.75.121;Malicious;Block
20.118.210.93 #100;155;2;https://www.abuseipdb.com/check/20.118.210.93;https://otx.alienvault.com/indicator/ip/20.118.210.93;Malicious;Block
20.106.16.245 #100;132;2;https://www.abuseipdb.com/check/20.106.16.245;https://otx.alienvault.com/indicator/ip/20.106.16.245;Malicious;Block
20.106.33.41 #100;176;2;https://www.abuseipdb.com/check/20.106.33.41;https://otx.alienvault.com/indicator/ip/20.106.33.41;Malicious;Block
20.14.75.6 #100;271;2;https://www.abuseipdb.com/check/20.14.75.6;https://otx.alienvault.com/indicator/ip/20.14.75.6;Malicious;Block
20.14.93.87 #100;223;3;https://www.abuseipdb.com/check/20.14.93.87;https://otx.alienvault.com/indicator/ip/20.14.93.87;Malicious;Block
20.14.88.205 #100;317;5;https://www.abuseipdb.com/check/20.14.88.205;https://otx.alienvault.com/indicator/ip/20.14.88.205;Malicious;Block
20.14.87.238 #100;819;9;https://www.abuseipdb.com/check/20.14.87.238;https://otx.alienvault.com/indicator/ip/20.14.87.238;Malicious;Block
20.150.193.188 #100;140;3;https://www.abuseipdb.com/check/20.150.193.188;https://otx.alienvault.com/indicator/ip/20.150.193.188;Malicious;Block
20.150.195.76 #100;161;4;https://www.abuseipdb.com/check/20.150.195.76;https://otx.alienvault.com/indicator/ip/20.150.195.76;Malicious;Block
20.15.166.220 #100;290;4;https://www.abuseipdb.com/check/20.15.166.220;https://otx.alienvault.com/indicator/ip/20.15.166.220;Malicious;Block
20.150.202.55 #100;856;8;https://www.abuseipdb.com/check/20.150.202.55;https://otx.alienvault.com/indicator/ip/20.150.202.55;Malicious;Block
20.150.207.247 #100;790;8;https://www.abuseipdb.com/check/20.150.207.247;https://otx.alienvault.com/indicator/ip/20.150.207.247;Malicious;Block
20.221.72.15 #100;134;3;https://www.abuseipdb.com/check/20.221.72.15;https://otx.alienvault.com/indicator/ip/20.221.72.15;Malicious;Block
20.171.8.86 #100;277;3;https://www.abuseipdb.com/check/20.171.8.86;https://otx.alienvault.com/indicator/ip/20.171.8.86;Malicious;Block
20.221.56.120 #100;139;1;https://www.abuseipdb.com/check/20.221.56.120;https://otx.alienvault.com/indicator/ip/20.221.56.120;Malicious;Block
196.251.112.87 #100;8613;9;https://www.abuseipdb.com/check/196.251.112.87;https://otx.alienvault.com/indicator/ip/196.251.112.87;Malicious;Block
196.251.117.40 #100;2165;6;https://www.abuseipdb.com/check/196.251.117.40;https://otx.alienvault.com/indicator/ip/196.251.117.40;Malicious;Block
196.251.112.87 #100;8613;9;https://www.abuseipdb.com/check/196.251.112.87;https://otx.alienvault.com/indicator/ip/196.251.112.87;Malicious;Block
13.89.125.231 #100;997;10;https://www.abuseipdb.com/check/13.89.125.231;https://otx.alienvault.com/indicator/ip/13.89.125.231;Malicious;Block
13.86.115.28 #100;112;1;https://www.abuseipdb.com/check/13.86.115.28;https://otx.alienvault.com/indicator/ip/13.86.115.28;Malicious;Block
20.14.72.151 #100;327;3;https://www.abuseipdb.com/check/20.14.72.151;https://otx.alienvault.com/indicator/ip/20.14.72.151;Malicious;Block
20.118.233.189 #100;281;1;https://www.abuseipdb.com/check/20.118.233.189;https://otx.alienvault.com/indicator/ip/20.118.233.189;Malicious;Block
20.15.232.203 #100;130;2;https://www.abuseipdb.com/check/20.15.232.203;https://otx.alienvault.com/indicator/ip/20.15.232.203;Malicious;Block
20.150.205.203 #100;780;7;https://www.abuseipdb.com/check/20.150.205.203;https://otx.alienvault.com/indicator/ip/20.150.205.203;Malicious;Block
20.163.60.142 #100;321;3;https://www.abuseipdb.com/check/20.163.60.142;https://otx.alienvault.com/indicator/ip/20.163.60.142;Malicious;Block
20.163.60.53 #100;169;2;https://www.abuseipdb.com/check/20.163.60.53;https://otx.alienvault.com/indicator/ip/20.163.60.53;Malicious;Block
20.163.76.6 #100;339;3;https://www.abuseipdb.com/check/20.163.76.6;https://otx.alienvault.com/indicator/ip/20.163.76.6;Malicious;Block
20.168.120.0 #100;151;2;https://www.abuseipdb.com/check/20.168.120.0;https://otx.alienvault.com/indicator/ip/20.168.120.0;Malicious;Block
20.169.49.44 #100;291;4;https://www.abuseipdb.com/check/20.169.49.44;https://otx.alienvault.com/indicator/ip/20.169.49.44;Malicious;Block
